iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,desviacion,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
15.0,0.04252329980954543,0.0070435542097787435,0.8522653181817014,0.5230623440554073,0.3137947682047716,2023-07-12_14:52:41,5,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.044795092195272695,-0.012568581418855761,0.8543954514200163,0.5194713113867833,0.31308224004493096,2023-07-12_14:52:41,10,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.04603526741266356,-0.0017202940312510647,0.8604324410351849,0.5095616302300237,0.299621450732723,2023-07-12_14:52:41,15,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.04577070521190865,-0.0003421044724181785,0.8304294533102803,0.5571236900718896,0.35490066410781407,2023-07-12_14:52:41,20,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.04838769836351405,-0.0028492196225612257,0.8546447713544089,0.51920535122831,0.3108915845208724,2023-07-12_14:52:41,25,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.046608043834567355,-0.010874676622303738,0.8411925714455348,0.5406263026834794,0.3372177965054318,2023-07-12_14:52:41,30,0.268,0.7,16,0.0001,0.0001,1000,6
21.0,0.0458016544580476,-0.015107583099432354,0.8647809889159438,0.5019219084105179,0.29370823866906687,2023-07-12_14:55:08,5,0.268,0.7,16,0.0001,0.0001,1000,6
13.0,0.04459726763889374,0.004248213578146562,0.8500066026184215,0.5267549033340682,0.31848523589274835,2023-07-12_14:55:08,10,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.04499844508245652,-0.004316128854564713,0.8393506678868715,0.5435732033034498,0.33949408400245923,2023-07-12_14:55:08,15,0.268,0.7,16,0.0001,0.0001,1000,6
25.0,0.045719633810223204,-0.013559241897158809,0.863366263916653,0.5043955206876589,0.29614305582567446,2023-07-12_14:55:08,20,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.04661469114944436,0.012435851380477205,0.8612278138045059,0.5080669270184334,0.29574730495315305,2023-07-12_14:55:08,25,0.268,0.7,16,0.0001,0.0001,1000,6
23.0,0.044808370061220425,-0.0017578070499859122,0.8263688210143807,0.5631265237667972,0.362277482987183,2023-07-12_14:55:08,30,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.04473756812512965,0.00390806041217878,0.8563663181224906,0.5163540028402451,0.30648866401524244,2023-07-12_14:57:25,5,0.268,0.7,16,0.0001,0.0001,1000,6
